label,r,lag,alpha,S2_direct,S2_sd,sum_sd_weights,sqrt_direct,sqrt_sd
cube320_t0022,32,1,+,0.2667851992724648,0.26678519927246014,0.9999999999999758,0.5165125354456219,0.5165125354456174
cube320_t0022,48,1,+,0.3344622681626883,0.3614284039186131,1.02309571428574,0.5783271290218783,0.601189158184521
cube320_t0022,64,1,+,0.3947664115185431,0.3892065452222212,0.9962584033613662,0.6283043939990736,0.6238642041520103
cube320_t0022,80,1,+,0.43045057949747023,0.4280042528608428,0.9983972222221715,0.6560873261216607,0.6542203396875114
cube320_t0022,96,1,+,0.4753262998620453,0.4743597374960493,0.999900352733708,0.6894391197647877,0.6887377857327485
cube320_t0022,128,1,+,0.5306584828035716,0.535146547191475,1.0045092364531516,0.7284630963910057,0.731537112654905
cube320_t0022,160,1,+,0.5938750327371217,0.5959630415857552,1.0026370370370272,0.7706328780535656,0.7719864257781708
cube320_t0022,192,1,+,0.7070665808839028,0.713590682871366,1.0008927648578536,0.8408725116710041,0.8447429685243707
cube320_t0022,32,1,+-,0.2518405234418844,0.25184052344188,0.9999999999999758,0.5018371483279057,0.5018371483279013
cube320_t0022,48,1,+-,0.3275524936692039,0.3535647573872307,1.02309571428574,0.572322019207023,0.594613115720828
cube320_t0022,64,1,+-,0.3915519322694832,0.3861946463853237,0.9962584033613662,0.6257411064246005,0.6214456101585429
cube320_t0022,80,1,+-,0.43574150889844143,0.43332816378378647,0.9983972222221715,0.6601071950058123,0.6582766620379203
cube320_t0022,96,1,+-,0.48829989887352293,0.4871156419476701,0.999900352733708,0.6987845868889231,0.6979367033962822
cube320_t0022,128,1,+-,0.5523651198616482,0.5589581589005919,1.0045092364531516,0.7432127016283079,0.747635043922228
cube320_t0022,160,1,+-,0.6081150996661407,0.6122346164050904,1.0026370370370272,0.7798173501956345,0.7824542263960815
cube320_t0022,192,1,+-,0.6298005345553832,0.6306407863769633,1.0008927648578536,0.7935997319526912,0.7941289482048638
cube320_t0022,32,1,-,0.36646257039018054,0.36646257039017366,0.9999999999999758,0.6053615204075831,0.6053615204075773
cube320_t0022,48,1,-,0.47944877135547154,0.5113966238304207,1.02309571428574,0.6924223937420507,0.7151200065935932
cube320_t0022,64,1,-,0.5807371409958181,0.5740933264961651,0.9962584033613662,0.7620611136882777,0.7576894657418467
cube320_t0022,80,1,-,0.6595596333423178,0.6565882515899301,0.9983972222221715,0.8121327682973504,0.8103013338196662
cube320_t0022,96,1,-,0.748503753173606,0.746593556106906,0.999900352733708,0.8651611139976219,0.86405645423601
cube320_t0022,128,1,-,0.8859778643820265,0.8970807266398495,1.0045092364531516,0.941263971679585,0.9471434562091687
cube320_t0022,160,1,-,1.020460176945148,1.0277577501883197,1.0026370370370272,1.0101782896821472,1.0137838774553083
cube320_t0022,192,1,-,1.0058852668930571,1.0013444267948926,1.0008927648578536,1.0029383165943244,1.0006719876137697
cube320_t0022,32,2,+,0.26626653906928965,0.2626625763627749,0.9969220622615732,0.5160102121753887,0.512506172024079
cube320_t0022,48,2,+,0.3368838382251614,0.3491187216001613,1.0099933333333007,0.5804169520484058,0.5908626926792394
cube320_t0022,64,2,+,0.3944789176075117,0.3962342368512785,1.001204444444428,0.6280755667971105,0.6294713947839715
cube320_t0022,80,2,+,0.4284598986259186,0.43737899329422586,1.0063902593295366,0.6545684827624368,0.6613463489686973
cube320_t0022,96,2,+,0.47527746428594486,0.47444685147072424,0.9995773913043151,0.6894037019671021,0.6888010245860007
