label,r,lag,state,count,A_p,A_m,A_pm
cube320_t0022,32,1,B,108000.0,0.19424328279095915,0.2860872054038807,0.18348862220625337
cube320_t0022,32,1,HL,2576.0,0.77474785232953,1.0217589969153402,0.7711132981665308
cube320_t0022,32,1,HS,9424.0,0.9592740772146985,1.1084506671422567,0.8932198385689497
cube320_t0022,48,1,B,108000.0,0.2527763336762978,0.38735521380820526,0.24803791777973322
cube320_t0022,48,1,HL,2862.0,0.9551634010744623,1.2206482285815305,0.946065618276485
cube320_t0022,48,1,HS,9138.0,1.1054881252579691,1.3357402321262946,1.0736008230013108
cube320_t0022,64,1,B,108000.0,0.30414717738427177,0.48168498877960764,0.303689675738213
cube320_t0022,64,1,HL,3346.0,1.1125348416599292,1.3645245213317214,1.0937746878428387
cube320_t0022,64,1,HS,8654.0,1.2481549161693668,1.5138408924109774,1.2165445790488618
cube320_t0022,80,1,B,108000.0,0.33734576637530067,0.5559549961639924,0.34283024125697503
cube320_t0022,80,1,HL,3642.0,1.1937788863610943,1.5162339808827061,1.2043079169974953
cube320_t0022,80,1,HS,8358.0,1.3009074021341047,1.625017020458501,1.3014148813537676
cube320_t0022,96,1,B,108000.0,0.3749254912321508,0.6398497171473444,0.38863847176849703
cube320_t0022,96,1,HL,4070.0,1.322586587132111,1.6082693010627223,1.3141546548467797
cube320_t0022,96,1,HS,7930.0,1.4078531552011924,1.7870144859513533,1.421743186456328
cube320_t0022,128,1,B,108000.0,0.43346565342350885,0.7849897118271416,0.4562524097817368
cube320_t0022,128,1,HL,4610.0,1.5196795699943397,1.6088832541410922,1.40491137330119
cube320_t0022,128,1,HS,7390.0,1.3341007508816958,1.9108935110854461,1.4251573337011783
cube320_t0022,160,1,B,108000.0,0.5051287852473032,0.921225868983402,0.513802559006105
cube320_t0022,160,1,HL,4576.0,1.5795504332622996,1.64788552016776,1.4241758642052804
cube320_t0022,160,1,HS,7424.0,1.2773534939571087,2.0773307169885076,1.4771156832804668
cube320_t0022,192,1,B,108000.0,0.6221424465692059,0.9156696216568713,0.5394292408712724
cube320_t0022,192,1,HL,4826.0,1.710145777734414,1.5353840603364866,1.4226071984403053
