label,r,lag,state,N_i,P_self,D_i,gamma_plus,gamma_minus,gamma_plus_over_D,gamma_plus_minus_gamma_minus
cube320_t0022,32,1,B,0.9,0.9993703703703704,0.0006296296296296466,0.0005666666666666667,0.000566666666666682,0.8999999999999757,-1.5287250632045613e-17
cube320_t0022,32,1,HL,0.021466666666666665,0.9899068322981367,0.010093167701863304,0.00021666666666666666,0.00021666666666666557,0.021466666666666773,1.0842021724855044e-18
cube320_t0022,32,1,HS,0.07853333333333333,0.9940577249575552,0.005942275042444822,0.00046666666666666666,0.0004666666666666667,0.07853333333333333,-5.421010862427522e-20
cube320_t0022,48,1,B,0.9,0.9992407407407408,0.0007592592592592373,0.0006833333333333333,0.0006833333333333136,0.900000000000026,1.973247953923618e-17
cube320_t0022,48,1,HL,0.02385,0.9790356394129979,0.02096436058700213,0.0003,0.0005000000000000008,0.014309999999999977,-0.0002000000000000008
cube320_t0022,48,1,HS,0.07615,0.9938717443641935,0.006128255635806545,0.0006666666666666666,0.0004666666666666684,0.10878571428571387,0.00019999999999999825
cube320_t0022,64,1,B,0.9,0.9994259259259259,0.0005740740740740602,0.0005166666666666667,0.0005166666666666542,0.9000000000000218,1.2468324983583301e-17
cube320_t0022,64,1,HL,0.027883333333333333,0.9898386132695756,0.010161386730424438,0.00035,0.0002833333333333347,0.03444411764705865,6.666666666666529e-05
cube320_t0022,64,1,HS,0.07211666666666666,0.993529003928819,0.006470996071180957,0.0004,0.0004666666666666666,0.06181428571428572,-6.666666666666659e-05
cube320_t0022,80,1,B,0.9,0.9993333333333333,0.0006666666666667043,0.0006,0.0006000000000000339,0.8999999999999492,-3.393552799879629e-17
cube320_t0022,80,1,HL,0.03035,0.9901153212520593,0.009884678747940745,0.0003333333333333333,0.0003000000000000016,0.03372222222222204,3.333333333333172e-05
cube320_t0022,80,1,HS,0.06965,0.9932998324958124,0.00670016750418756,0.0004333333333333333,0.00046666666666666357,0.06467500000000043,-3.333333333333026e-05
cube320_t0022,96,1,B,0.9,0.9994259259259259,0.0005740740740740602,0.0005166666666666667,0.0005166666666666542,0.9000000000000218,1.2468324983583301e-17
cube320_t0022,96,1,HL,0.033916666666666664,0.9931203931203931,0.00687960687960687,0.0003,0.00023333333333333298,0.043607142857142914,6.6666666666667e-05
cube320_t0022,96,1,HS,0.06608333333333333,0.9931904161412358,0.006809583858764179,0.00038333333333333334,0.00044999999999999945,0.05629320987654328,-6.66666666666661e-05
cube320_t0022,128,1,B,0.9,0.9993333333333333,0.0006666666666667043,0.0006,0.0006000000000000339,0.8999999999999492,-3.393552799879629e-17
cube320_t0022,128,1,HL,0.03841666666666667,0.9878524945770065,0.012147505422993476,0.00036666666666666667,0.00046666666666666607,0.03018452380952385,-9.99999999999994e-05
cube320_t0022,128,1,HS,0.06158333333333333,0.9921515561569689,0.007848443843031072,0.0005833333333333334,0.0004833333333333302,0.07432471264367865,0.00010000000000000319
cube320_t0022,160,1,B,0.9,0.9989814814814815,0.0010185185185185297,0.0009166666666666666,0.0009166666666666767,0.8999999999999901,-1.0083080204115191e-17
cube320_t0022,160,1,HL,0.03813333333333333,0.9842657342657343,0.01573426573426573,0.0005333333333333334,0.0005999999999999997,0.033896296296296306,-6.666666666666637e-05
cube320_t0022,160,1,HS,0.06186666666666667,0.990301724137931,0.00969827586206895,0.0006666666666666666,0.0005999999999999991,0.06874074074074085,6.666666666666756e-05
cube320_t0022,192,1,B,0.9,0.9989444444444444,0.0010555555555555873,0.00095,0.0009500000000000286,0.8999999999999729,-2.862293735361732e-17
cube320_t0022,192,1,HL,0.040216666666666664,0.9888106092001657,0.011189390799834276,0.0006,0.0004500000000000018,0.053622222222222,0.00014999999999999817
cube320_t0022,192,1,HS,0.059783333333333334,0.9880122665179816,0.011987733482018426,0.0005666666666666667,0.0007166666666666682,0.047270542635658816,-0.00015000000000000148
cube320_t0022,32,2,B,0.9,0.9987407407407407,0.0012592592592592933,0.0011333333333333334,0.001133333333333364,0.8999999999999757,-3.0574501264091225e-17
cube320_t0022,32,2,HL,0.021955555555555555,0.978744939271255,0.021255060728744946,0.0005555555555555556,0.00046666666666666677,0.02613756613756613,8.888888888888878e-05
cube320_t0022,32,2,HS,0.07804444444444444,0.9877562642369021,0.012243735763097896,0.0008666666666666666,0.0009555555555555514,0.07078449612403132,-8.888888888888477e-05
cube320_t0022,48,2,B,0.9,0.9987901234567901,0.00120987654320992,0.0010888888888888888,0.001088888888888928,0.8999999999999675,-3.924811864397526e-17
cube320_t0022,48,2,HL,0.023822222222222224,0.9720149253731343,0.027985074626865725,0.00046666666666666666,0.0006666666666666679,0.016675555555555523,-0.00020000000000000128
cube320_t0022,48,2,HS,0.07617777777777777,0.9883313885647608,0.011668611435239229,0.0010888888888888888,0.0008888888888888906,0.0933177777777776,0.00019999999999999825
cube320_t0022,64,2,B,0.9,0.9986913580246913,0.0013086419753086664,0.0011777777777777778,0.0011777777777778,0.8999999999999831,-2.211772431870429e-17
cube320_t0022,64,2,HL,0.027933333333333334,0.9761336515513126,0.023866348448687402,0.0006222222222222223,0.0006666666666666682,0.026071111111111055,-4.444444444444591e-05
cube320_t0022,64,2,HS,0.07206666666666667,0.9855072463768116,0.01449275362318836,0.0010888888888888888,0.0010444444444444412,0.07513333333333357,4.4444444444447645e-05
cube320_t0022,80,2,B,0.9,0.9988641975308642,0.0011358024691358048,0.0010222222222222223,0.0010222222222222245,0.8999999999999982,-2.168404344971009e-18
cube320_t0022,80,2,HL,0.030422222222222222,0.9773557341124909,0.02264426588750912,0.0005555555555555556,0.0006888888888888885,0.024534050179211484,-0.00013333333333333296
cube320_t0022,80,2,HS,0.06957777777777778,0.9891408495688279,0.010859150431172138,0.0008888888888888889,0.0007555555555555548,0.08185620915032689,0.00013333333333333415
cube320_t0022,96,2,B,0.9,0.9987901234567901,0.00120987654320992,0.0010888888888888888,0.001088888888888928,0.8999999999999675,-3.924811864397526e-17
cube320_t0022,96,2,HL,0.03342222222222222,0.9847074468085106,0.015292553191489366,0.0005555555555555556,0.0005111111111111113,0.03632850241545892,4.4444444444444284e-05
cube320_t0022,96,2,HS,0.06657777777777778,0.986648865153538,0.013351134846461998,0.0008444444444444444,0.0008888888888888922,0.06324888888888866,-4.4444444444447753e-05
cube320_t0022,128,2,B,0.9,0.9986172839506173,0.0013827160493826707,0.0012444444444444445,0.0012444444444444037,0.9000000000000296,4.0766001685454967e-17
cube320_t0022,128,2,HL,0.03855555555555556,0.975792507204611,0.02420749279538903,0.0009333333333333333,0.0009333333333333327,0.038555555555555586,6.505213034913027e-19
cube320_t0022,128,2,HS,0.06144444444444445,0.9848101265822785,0.015189873417721489,0.0009333333333333333,0.0009333333333333315,0.061444444444444565,1.8431436932253575e-18
cube320_t0022,160,2,B,0.9,0.9979259259259259,0.002074074074074117,0.0018666666666666666,0.0018666666666667055,0.8999999999999814,-3.881443777498106e-17
cube320_t0022,160,2,HL,0.037755555555555556,0.9729252501471454,0.02707474985285463,0.0010222222222222223,0.0010222222222222225,0.03775555555555555,-2.168404344971009e-19
cube320_t0022,160,2,HS,0.06224444444444444,0.9771510174937522,0.022848982506247784,0.0014222222222222223,0.0014222222222222232,0.06224444444444441,-8.673617379884035e-19
cube320_t0022,192,2,B,0.9,0.9978518518518519,0.0021481481481481213,0.0019333333333333333,0.0019333333333333093,0.9000000000000112,2.4069288229178198e-17
cube320_t0022,192,2,HL,0.040577777777777775,0.9704271631982475,0.02957283680175249,0.001288888888888889,0.001200000000000001,0.04358353909465017,8.888888888888792e-05
cube320_t0022,192,2,HS,0.059422222222222223,0.9771877337322363,0.02281226626776367,0.0012666666666666666,0.0013555555555555567,0.055525683060109236,-8.888888888889009e-05
cube320_t0022,32,4,B,0.9,0.9972592592592593,0.0027407407407407103,0.0024666666666666665,0.002466666666666639,0.9000000000000099,2.7321894746634712e-17
cube320_t0022,32,4,HL,0.024866666666666665,0.9463806970509383,0.0536193029490617,0.0008,0.0013333333333333342,0.01491999999999999,-0.0005333333333333341
cube320_t0022,32,4,HS,0.07513333333333333,0.9787045252883763,0.02129547471162374,0.0021333333333333334,0.001599999999999997,0.10017777777777796,0.0005333333333333364
cube320_t0022,48,4,B,0.9,0.9976296296296296,0.002370370370370356,0.0021333333333333334,0.0021333333333333204,0.9000000000000055,1.3010426069826053e-17
cube320_t0022,48,4,HL,0.023666666666666666,0.9323943661971831,0.06760563380281692,0.0008666666666666666,0.0016000000000000005,0.01281944444444444,-0.0007333333333333339
cube320_t0022,48,4,HS,0.07633333333333334,0.9807860262008734,0.019213973799126594,0.0022,0.0014666666666666634,0.11450000000000027,0.0007333333333333367
cube320_t0022,64,4,B,0.9,0.9971111111111111,0.002888888888888941,0.0026,0.0026000000000000467,0.8999999999999838,-4.683753385137379e-17
cube320_t0022,64,4,HL,0.028066666666666667,0.9548693586698337,0.04513064133016631,0.0012666666666666666,0.0012666666666666677,0.02806666666666664,-1.0842021724855044e-18
cube320_t0022,64,4,HS,0.07193333333333334,0.9675625579240037,0.0324374420759963,0.0023333333333333335,0.002333333333333334,0.07193333333333332,-4.336808689942018e-19
cube320_t0022,80,4,B,0.9,0.9979259259259259,0.002074074074074117,0.0018666666666666666,0.0018666666666667055,0.8999999999999814,-3.881443777498106e-17
cube320_t0022,80,4,HL,0.0304,0.9736842105263158,0.02631578947368418,0.0008666666666666666,0.0007999999999999991,0.03293333333333337,6.666666666666756e-05
cube320_t0022,80,4,HS,0.0696,0.9760536398467433,0.023946360153256685,0.0016,0.0016666666666666653,0.06681600000000006,-6.666666666666518e-05
cube320_t0022,96,4,B,0.9,0.9976296296296296,0.002370370370370356,0.0021333333333333334,0.0021333333333333204,0.9000000000000055,1.3010426069826053e-17
cube320_t0022,96,4,HL,0.0334,0.9600798403193613,0.03992015968063867,0.0012,0.0013333333333333316,0.030060000000000038,-0.00013333333333333166
cube320_t0022,96,4,HS,0.0666,0.973973973973974,0.026026026026025995,0.0018666666666666666,0.0017333333333333313,0.07172307692307701,0.00013333333333333535
cube320_t0022,128,4,B,0.9,0.9974074074074074,0.002592592592592591,0.0023333333333333335,0.002333333333333332,0.9000000000000007,1.734723475976807e-18
cube320_t0022,128,4,HL,0.03966666666666667,0.9529411764705882,0.04705882352941182,0.0017333333333333333,0.001866666666666669,0.03683333333333329,-0.00013333333333333578
cube320_t0022,128,4,HS,0.060333333333333336,0.9701657458563536,0.029834254143646377,0.0019333333333333333,0.0017999999999999982,0.06480246913580254,0.00013333333333333513
cube320_t0022,160,4,B,0.9,0.9962962962962963,0.0037037037037036535,0.0033333333333333335,0.0033333333333332884,0.9000000000000122,4.5102810375396984e-17
cube320_t0022,160,4,HL,0.03666666666666667,0.9654545454545455,0.034545454545454546,0.0019333333333333333,0.0012666666666666666,0.05596491228070175,0.0006666666666666668
cube320_t0022,160,4,HS,0.06333333333333334,0.9536842105263158,0.0463157894736842,0.002266666666666667,0.002933333333333333,0.048939393939393956,-0.0006666666666666661
cube320_t0022,192,4,B,0.9,0.9957777777777778,0.004222222222222238,0.0038,0.0038000000000000147,0.8999999999999966,-1.474514954580286e-17
cube320_t0022,192,4,HL,0.04053333333333333,0.944078947368421,0.05592105263157898,0.003,0.002266666666666668,0.05364705882352938,0.0007333333333333319
cube320_t0022,192,4,HS,0.05946666666666667,0.9417040358744395,0.058295964125560484,0.0027333333333333333,0.0034666666666666635,0.04688717948717953,-0.0007333333333333302
cube320_t0037,32,1,B,0.9,0.9993703703703704,0.0006296296296296466,0.0005666666666666667,0.000566666666666682,0.8999999999999757,-1.5287250632045613e-17
cube320_t0037,32,1,HL,0.02035,0.9877149877149877,0.012285012285012331,0.00025,0.0002500000000000009,0.020349999999999924,-9.215718466126788e-19
cube320_t0037,32,1,HS,0.07965,0.993513287298598,0.006486712701401998,0.0005166666666666667,0.0005166666666666691,0.07964999999999962,-2.3852447794681098e-18
cube320_t0037,48,1,B,0.9,0.9993703703703704,0.0006296296296296466,0.0005666666666666667,0.000566666666666682,0.8999999999999757,-1.5287250632045613e-17
cube320_t0037,48,1,HL,0.02178333333333333,0.9831675592960979,0.016832440703902107,0.00036666666666666667,0.00036666666666666754,0.02178333333333328,-8.673617379884035e-19
cube320_t0037,48,1,HS,0.07821666666666667,0.9946729171105902,0.005327082889409751,0.0004166666666666667,0.00041666666666666604,0.0782166666666668,6.505213034913027e-19
cube320_t0037,64,1,B,0.9,0.9994259259259259,0.0005740740740740602,0.0005166666666666667,0.0005166666666666542,0.9000000000000218,1.2468324983583301e-17
cube320_t0037,64,1,HL,0.0248,0.9858870967741935,0.014112903225806495,0.00031666666666666665,0.000350000000000001,0.022438095238095167,-3.333333333333438e-05
cube320_t0037,64,1,HS,0.0752,0.9957890070921985,0.00421099290780147,0.00035,0.00031666666666667055,0.0831157894736832,3.3333333333329445e-05
cube320_t0037,80,1,B,0.9,0.9992592592592593,0.0007407407407407085,0.0006666666666666666,0.0006666666666666377,0.9000000000000391,2.894819800536297e-17
cube320_t0037,80,1,HL,0.027266666666666668,0.9859413202933985,0.014058679706601462,0.0005,0.00038333333333333324,0.03556521739130436,0.00011666666666666677
cube320_t0037,80,1,HS,0.07273333333333333,0.9931255728689276,0.006874427131072447,0.00038333333333333334,0.0005000000000000026,0.05576222222222193,-0.00011666666666666927
cube320_t0037,96,1,B,0.9,0.9995555555555555,0.0004444444444444695,0.0004,0.00040000000000002257,0.8999999999999493,-2.2551405187698492e-17
cube320_t0037,96,1,HL,0.0291,0.9914089347079038,0.00859106529209619,0.00031666666666666665,0.00024999999999999914,0.03686000000000013,6.666666666666751e-05
cube320_t0037,96,1,HS,0.0709,0.9945933239304184,0.005406676069581562,0.00031666666666666665,0.00038333333333333275,0.058569565217391394,-6.66666666666661e-05
cube320_t0037,128,1,B,0.9,0.9993518518518518,0.0006481481481481755,0.0005833333333333334,0.0005833333333333579,0.8999999999999622,-2.45029690981724e-17
cube320_t0037,128,1,HL,0.0282,0.985224586288416,0.014775413711583973,0.00028333333333333335,0.00041666666666666805,0.019175999999999936,-0.0001333333333333347
cube320_t0037,128,1,HS,0.0718,0.9944289693593314,0.005571030640668551,0.0005333333333333334,0.00040000000000000197,0.09573333333333288,0.0001333333333333314
cube320_t0037,160,1,B,0.9,0.999462962962963,0.0005370370370370026,0.00048333333333333334,0.00048333333333330233,0.9000000000000578,3.1008182133085427e-17
cube320_t0037,160,1,HL,0.026316666666666665,0.9930335655478151,0.006966434452184922,0.0003333333333333333,0.0001833333333333332,0.04784848484848488,0.00015000000000000012
cube320_t0037,160,1,HS,0.07368333333333334,0.9929880117620448,0.007011988237955236,0.00036666666666666667,0.0005166666666666683,0.052291397849462205,-0.00015000000000000164
cube320_t0037,192,1,B,0.9,0.9993703703703704,0.0006296296296296466,0.0005666666666666667,0.000566666666666682,0.8999999999999757,-1.5287250632045613e-17
cube320_t0037,192,1,HL,0.02555,0.9915198956294846,0.008480104370515384,0.0004333333333333333,0.00021666666666666807,0.051099999999999667,0.00021666666666666525
cube320_t0037,192,1,HS,0.07445,0.9930602193866129,0.00693978061338707,0.0003,0.0005166666666666673,0.04322903225806445,-0.00021666666666666736
cube320_t0037,32,2,B,0.9,0.9985432098765432,0.001456790123456786,0.0013111111111111112,0.0013111111111111073,0.9000000000000027,3.903127820947816e-18
cube320_t0037,32,2,HL,0.020844444444444443,0.9690831556503199,0.030916844349680117,0.0006222222222222223,0.0006444444444444433,0.020125670498084326,-2.2222222222221004e-05
cube320_t0037,32,2,HS,0.07915555555555556,0.987085906793936,0.012914093206063959,0.0010444444444444444,0.0010222222222222184,0.08087632850241577,2.222222222222599e-05
cube320_t0037,48,2,B,0.9,0.9988148148148148,0.001185185185185178,0.0010666666666666667,0.0010666666666666602,0.9000000000000055,6.5052130349130266e-18
cube320_t0037,48,2,HL,0.021,0.9703703703703703,0.029629629629629672,0.0006444444444444444,0.0006222222222222231,0.021749999999999967,2.222222222222133e-05
cube320_t0037,48,2,HS,0.079,0.9895921237693389,0.010407876230661084,0.0008,0.0008222222222222256,0.07686486486486455,-2.2222222222225557e-05
cube320_t0037,64,2,B,0.9,0.9990123456790123,0.0009876543209876854,0.0008888888888888889,0.0008888888888889168,0.8999999999999717,-2.7863995832877464e-17
cube320_t0037,64,2,HL,0.024733333333333333,0.9820305480682839,0.017969451931716063,0.0004222222222222222,0.0004444444444444439,0.023496666666666693,-2.2222222222221708e-05
cube320_t0037,64,2,HS,0.07526666666666666,0.9908473575435489,0.009152642456451088,0.0007111111111111111,0.0006888888888888852,0.0776946236559144,2.222222222222599e-05
cube320_t0037,80,2,B,0.9,0.9986913580246913,0.0013086419753086664,0.0011777777777777778,0.0011777777777778,0.8999999999999831,-2.211772431870429e-17
cube320_t0037,80,2,HL,0.027044444444444444,0.9753492193919474,0.02465078060805259,0.0007111111111111111,0.0006666666666666668,0.028847407407407405,4.444444444444439e-05
cube320_t0037,80,2,HS,0.07295555555555555,0.9872068230277186,0.01279317697228144,0.0008888888888888889,0.0009333333333333325,0.06948148148148155,-4.4444444444443525e-05
cube320_t0037,96,2,B,0.9,0.9990617283950617,0.0009382716049383122,0.0008444444444444444,0.000844444444444481,0.899999999999961,-3.65376132127615e-17
cube320_t0037,96,2,HL,0.028888888888888888,0.9838461538461538,0.016153846153846185,0.0005555555555555556,0.00046666666666666753,0.03439153439153433,8.888888888888803e-05
cube320_t0037,96,2,HS,0.07111111111111111,0.9896875,0.010312499999999947,0.0006444444444444444,0.0007333333333333295,0.06249158249158281,-8.88888888888851e-05
cube320_t0037,128,2,B,0.9,0.9986666666666667,0.0013333333333332975,0.0012,0.0011999999999999678,0.9000000000000241,3.209238430557093e-17
cube320_t0037,128,2,HL,0.028377777777777776,0.9702427564604542,0.029757243539545786,0.0006888888888888888,0.0008444444444444437,0.023150292397660838,-0.00015555555555555483
cube320_t0037,128,2,HS,0.07162222222222223,0.9885200124107973,0.011479987589202656,0.0009777777777777777,0.0008222222222222258,0.085172372372372,0.0001555555555555519
cube320_t0037,160,2,B,0.9,0.9989382716049383,0.0010617283950616896,0.0009555555555555555,0.0009555555555555206,0.9000000000000329,3.491130995403324e-17
cube320_t0037,160,2,HL,0.026555555555555554,0.9815899581589959,0.018410041841004143,0.0004888888888888889,0.0004888888888888878,0.026555555555555613,1.0842021724855044e-18
cube320_t0037,160,2,HS,0.07344444444444445,0.989409984871407,0.010590015128593033,0.0007777777777777777,0.0007777777777777773,0.07344444444444449,4.336808689942018e-19
cube320_t0037,192,2,B,0.9,0.9984197530864197,0.0015802469135802744,0.0014222222222222223,0.001422222222222247,0.8999999999999844,-2.47198095326695e-17
cube320_t0037,192,2,HL,0.025733333333333334,0.9844559585492227,0.015544041450777257,0.0009777777777777777,0.00040000000000000143,0.06290370370370348,0.0005777777777777762
cube320_t0037,192,2,HS,0.07426666666666666,0.9817474566128067,0.018252543387193287,0.0007777777777777777,0.0013555555555555547,0.04261202185792352,-0.000577777777777777
cube320_t0037,32,4,B,0.9,0.9967407407407407,0.003259259259259295,0.0029333333333333334,0.0029333333333333655,0.8999999999999901,-3.209238430557093e-17
cube320_t0037,32,4,HL,0.022066666666666665,0.945619335347432,0.05438066465256797,0.0014666666666666667,0.0011999999999999997,0.026970370370370374,0.000266666666666667
cube320_t0037,32,4,HS,0.07793333333333333,0.9683490162532079,0.031650983746792094,0.0022,0.0024666666666666635,0.06950810810810819,-0.0002666666666666633
cube320_t0037,48,4,B,0.9,0.9974074074074074,0.002592592592592591,0.0023333333333333335,0.002333333333333332,0.9000000000000007,1.734723475976807e-18
cube320_t0037,48,4,HL,0.020266666666666665,0.944078947368421,0.05592105263157898,0.0012666666666666666,0.001133333333333334,0.022650980392156846,0.00013333333333333253
cube320_t0037,48,4,HS,0.07973333333333334,0.9749163879598662,0.025083612040133763,0.0018666666666666666,0.0019999999999999987,0.07441777777777783,-0.0001333333333333321
cube320_t0037,64,4,B,0.9,0.9979259259259259,0.002074074074074117,0.0018666666666666666,0.0018666666666667055,0.8999999999999814,-3.881443777498106e-17
cube320_t0037,64,4,HL,0.024266666666666666,0.9725274725274725,0.027472527472527486,0.0016,0.000666666666666667,0.05823999999999997,0.0009333333333333331
cube320_t0037,64,4,HS,0.07573333333333333,0.971830985915493,0.028169014084507005,0.0012,0.0021333333333333304,0.042600000000000054,-0.0009333333333333305
cube320_t0037,80,4,B,0.9,0.9975555555555555,0.0024444444444444713,0.0022,0.0022000000000000244,0.8999999999999901,-2.42861286636753e-17
cube320_t0037,80,4,HL,0.0262,0.9618320610687023,0.03816793893129766,0.0014666666666666667,0.0009999999999999987,0.03842666666666671,0.00046666666666666796
cube320_t0037,80,4,HS,0.0738,0.973803071364047,0.02619692863595302,0.0014666666666666667,0.0019333333333333331,0.05598620689655174,-0.00046666666666666645
