label,r,lag,start_index,state,count,sum_S2p,sum_S2m,sum_S2pm
cube320_t0022,32,1,0,B,27000.0,5304.144652614993,7764.753959296289,4993.421174058284
cube320_t0022,32,1,0,HS,2254.0,2249.6903272153536,2486.056909342703,2050.728077062124
cube320_t0022,32,1,0,HL,746.0,623.1154056981076,728.9731715261728,586.4326736779446
cube320_t0022,32,2,0,B,27000.0,5304.144652614993,7764.753959296289,4993.421174058284
cube320_t0022,32,2,0,HS,2254.0,2249.6903272153536,2486.056909342703,2050.728077062124
cube320_t0022,32,2,0,HL,746.0,623.1154056981076,728.9731715261728,586.4326736779446
cube320_t0022,32,4,0,B,27000.0,5304.144652614993,7764.753959296289,4993.421174058284
cube320_t0022,32,4,0,HS,2254.0,2249.6903272153536,2486.056909342703,2050.728077062124
cube320_t0022,32,4,0,HL,746.0,623.1154056981076,728.9731715261728,586.4326736779446
cube320_t0022,32,1,1,B,27000.0,5139.022875885883,7559.514803629259,4891.767171813649
cube320_t0022,32,1,1,HS,2400.0,2203.8489079199035,2636.3147667565167,2085.9816911059966
cube320_t0022,32,1,1,HL,600.0,489.0842334001971,592.8757087249263,459.0002385663387
cube320_t0022,32,2,1,B,27000.0,5139.022875885883,7559.514803629259,4891.767171813649
cube320_t0022,32,2,1,HS,2400.0,2203.8489079199035,2636.3147667565167,2085.9816911059966
cube320_t0022,32,2,1,HL,600.0,489.0842334001971,592.8757087249263,459.0002385663387
cube320_t0022,32,1,2,B,27000.0,5245.073949321995,7710.283397219428,4939.002093952928
cube320_t0022,32,1,2,HS,2370.0,2250.8456858224304,2560.092923878829,2084.2339660197217
cube320_t0022,32,1,2,HL,630.0,459.1624783572081,679.811321261707,485.1159405733336
cube320_t0022,32,2,2,B,27000.0,5245.073949321995,7710.283397219428,4939.002093952928
cube320_t0022,32,2,2,HS,2370.0,2250.8456858224304,2560.092923878829,2084.2339660197217
cube320_t0022,32,2,2,HL,630.0,459.1624783572081,679.811321261707,485.1159405733336
cube320_t0022,32,1,3,B,27000.0,5290.033063600717,7862.866023474141,4992.580758450503
cube320_t0022,32,1,3,HS,2400.0,2335.8139827136306,2763.574487170578,2196.7600244859395
cube320_t0022,32,1,3,HL,600.0,424.3883501453566,630.3909745411102,455.8390032593666
cube320_t0022,48,1,0,B,27000.0,6942.995984795572,10458.777893435281,6786.8781767539695
