label,r,lag,start_index,from_state,to_state,count
cube320_t0022,48,1,2,B,HS,16.0
cube320_t0022,48,1,2,B,HL,2.0
cube320_t0022,48,1,2,HS,B,14.0
cube320_t0022,48,1,2,HS,HS,2256.0
cube320_t0022,48,1,2,HS,HL,4.0
cube320_t0022,48,1,2,HL,B,4.0
cube320_t0022,48,1,2,HL,HS,6.0
cube320_t0022,48,1,2,HL,HL,716.0
cube320_t0022,48,2,2,B,B,26968.0
cube320_t0022,48,2,2,B,HS,30.0
cube320_t0022,48,2,2,B,HL,2.0
cube320_t0022,48,2,2,HS,B,24.0
cube320_t0022,48,2,2,HS,HS,2246.0
cube320_t0022,48,2,2,HS,HL,4.0
cube320_t0022,48,2,2,HL,B,8.0
cube320_t0022,48,2,2,HL,HS,4.0
cube320_t0022,48,2,2,HL,HL,714.0
cube320_t0022,48,1,3,B,B,26976.0
cube320_t0022,48,1,3,B,HS,16.0
cube320_t0022,48,1,3,B,HL,8.0
cube320_t0022,48,1,3,HS,B,10.0
cube320_t0022,48,1,3,HS,HS,2270.0
cube320_t0022,48,1,3,HS,HL,2.0
cube320_t0022,48,1,3,HL,B,14.0
cube320_t0022,48,1,3,HL,HS,4.0
cube320_t0022,48,1,3,HL,HL,700.0
cube320_t0022,64,1,0,B,B,26978.0
cube320_t0022,64,1,0,B,HS,18.0
cube320_t0022,64,1,0,B,HL,4.0
cube320_t0022,64,1,0,HS,B,14.0
cube320_t0022,64,1,0,HS,HS,2138.0
cube320_t0022,64,1,0,HS,HL,6.0
cube320_t0022,64,1,0,HL,B,8.0
cube320_t0022,64,1,0,HL,HS,6.0
cube320_t0022,64,1,0,HL,HL,828.0
cube320_t0022,64,2,0,B,B,26960.0
cube320_t0022,64,2,0,B,HS,34.0
cube320_t0022,64,2,0,B,HL,6.0
cube320_t0022,64,2,0,HS,B,28.0
cube320_t0022,64,2,0,HS,HS,2124.0
cube320_t0022,64,2,0,HS,HL,6.0
cube320_t0022,64,2,0,HL,B,12.0
cube320_t0022,64,2,0,HL,HS,12.0
cube320_t0022,64,2,0,HL,HL,818.0
cube320_t0022,64,4,0,B,B,26922.0
cube320_t0022,64,4,0,B,HS,52.0
cube320_t0022,64,4,0,B,HL,26.0
cube320_t0022,64,4,0,HS,B,58.0
cube320_t0022,64,4,0,HS,HS,2088.0
cube320_t0022,64,4,0,HS,HL,12.0
cube320_t0022,64,4,0,HL,B,20.0
cube320_t0022,64,4,0,HL,HS,18.0
cube320_t0022,64,4,0,HL,HL,804.0
cube320_t0022,64,1,1,B,B,26990.0
cube320_t0022,64,1,1,B,HS,2.0
cube320_t0022,64,1,1,B,HL,8.0
cube320_t0022,64,1,1,HS,B,2.0
cube320_t0022,64,1,1,HS,HS,2134.0
cube320_t0022,64,1,1,HS,HL,4.0
cube320_t0022,64,1,1,HL,B,8.0
cube320_t0022,64,1,1,HL,HS,0.0
cube320_t0022,64,1,1,HL,HL,852.0
cube320_t0022,64,2,1,B,B,26974.0
cube320_t0022,64,2,1,B,HS,14.0
cube320_t0022,64,2,1,B,HL,12.0
cube320_t0022,64,2,1,HS,B,14.0
cube320_t0022,64,2,1,HS,HS,2118.0
cube320_t0022,64,2,1,HS,HL,8.0
cube320_t0022,64,2,1,HL,B,12.0
cube320_t0022,64,2,1,HL,HS,0.0
cube320_t0022,64,2,1,HL,HL,848.0
cube320_t0022,64,1,2,B,B,26982.0
cube320_t0022,64,1,2,B,HS,16.0
cube320_t0022,64,1,2,B,HL,2.0
cube320_t0022,64,1,2,HS,B,10.0
cube320_t0022,64,1,2,HS,HS,2170.0
cube320_t0022,64,1,2,HS,HL,8.0
cube320_t0022,64,1,2,HL,B,8.0
cube320_t0022,64,1,2,HL,HS,2.0
cube320_t0022,64,1,2,HL,HL,802.0
cube320_t0022,64,2,2,B,B,26960.0
cube320_t0022,64,2,2,B,HS,32.0
cube320_t0022,64,2,2,B,HL,8.0
cube320_t0022,64,2,2,HS,B,22.0
cube320_t0022,64,2,2,HS,HS,2150.0
cube320_t0022,64,2,2,HS,HL,16.0
cube320_t0022,64,2,2,HL,B,18.0
cube320_t0022,64,2,2,HL,HS,6.0
cube320_t0022,64,2,2,HL,HL,788.0
cube320_t0022,64,1,3,B,B,26988.0
cube320_t0022,64,1,3,B,HS,4.0
cube320_t0022,64,1,3,B,HL,8.0
cube320_t0022,64,1,3,HS,B,10.0
cube320_t0022,64,1,3,HS,HS,2156.0
cube320_t0022,64,1,3,HS,HL,2.0
cube320_t0022,64,1,3,HL,B,2.0
cube320_t0022,64,1,3,HL,HS,0.0
cube320_t0022,64,1,3,HL,HL,830.0
cube320_t0022,80,1,0,B,B,26980.0
cube320_t0022,80,1,0,B,HS,12.0
cube320_t0022,80,1,0,B,HL,8.0
cube320_t0022,80,1,0,HS,B,16.0
cube320_t0022,80,1,0,HS,HS,2072.0
cube320_t0022,80,1,0,HS,HL,0.0
cube320_t0022,80,1,0,HL,B,4.0
cube320_t0022,80,1,0,HL,HS,4.0
cube320_t0022,80,1,0,HL,HL,904.0
cube320_t0022,80,2,0,B,B,26974.0
cube320_t0022,80,2,0,B,HS,18.0
cube320_t0022,80,2,0,B,HL,8.0
cube320_t0022,80,2,0,HS,B,20.0
cube320_t0022,80,2,0,HS,HS,2066.0
cube320_t0022,80,2,0,HS,HL,2.0
cube320_t0022,80,2,0,HL,B,6.0
cube320_t0022,80,2,0,HL,HS,4.0
cube320_t0022,80,2,0,HL,HL,902.0
cube320_t0022,80,4,0,B,B,26944.0
cube320_t0022,80,4,0,B,HS,40.0
cube320_t0022,80,4,0,B,HL,16.0
cube320_t0022,80,4,0,HS,B,40.0
cube320_t0022,80,4,0,HS,HS,2038.0
cube320_t0022,80,4,0,HS,HL,10.0
cube320_t0022,80,4,0,HL,B,16.0
cube320_t0022,80,4,0,HL,HS,8.0
cube320_t0022,80,4,0,HL,HL,888.0
cube320_t0022,80,1,1,B,B,26980.0
cube320_t0022,80,1,1,B,HS,12.0
cube320_t0022,80,1,1,B,HL,8.0
cube320_t0022,80,1,1,HS,B,4.0
cube320_t0022,80,1,1,HS,HS,2040.0
cube320_t0022,80,1,1,HS,HL,6.0
cube320_t0022,80,1,1,HL,B,16.0
cube320_t0022,80,1,1,HL,HS,4.0
cube320_t0022,80,1,1,HL,HL,930.0
cube320_t0022,80,2,1,B,B,26966.0
cube320_t0022,80,2,1,B,HS,16.0
cube320_t0022,80,2,1,B,HL,18.0
cube320_t0022,80,2,1,HS,B,12.0
cube320_t0022,80,2,1,HS,HS,2028.0
cube320_t0022,80,2,1,HS,HL,10.0
cube320_t0022,80,2,1,HL,B,22.0
cube320_t0022,80,2,1,HL,HS,12.0
cube320_t0022,80,2,1,HL,HL,916.0
cube320_t0022,80,1,2,B,B,26986.0
cube320_t0022,80,1,2,B,HS,12.0
cube320_t0022,80,1,2,B,HL,2.0
cube320_t0022,80,1,2,HS,B,12.0
cube320_t0022,80,1,2,HS,HS,2108.0
cube320_t0022,80,1,2,HS,HL,4.0
cube320_t0022,80,1,2,HL,B,2.0
cube320_t0022,80,1,2,HL,HS,0.0
cube320_t0022,80,1,2,HL,HL,874.0
cube320_t0022,80,2,2,B,B,26968.0
cube320_t0022,80,2,2,B,HS,24.0
cube320_t0022,80,2,2,B,HL,8.0
cube320_t0022,80,2,2,HS,B,20.0
cube320_t0022,80,2,2,HS,HS,2100.0
cube320_t0022,80,2,2,HS,HL,4.0
cube320_t0022,80,2,2,HL,B,12.0
cube320_t0022,80,2,2,HL,HS,6.0
cube320_t0022,80,2,2,HL,HL,858.0
cube320_t0022,80,1,3,B,B,26982.0
cube320_t0022,80,1,3,B,HS,8.0
cube320_t0022,80,1,3,B,HL,10.0
cube320_t0022,80,1,3,HS,B,12.0
cube320_t0022,80,1,3,HS,HS,2082.0
cube320_t0022,80,1,3,HS,HL,2.0
cube320_t0022,80,1,3,HL,B,6.0
cube320_t0022,80,1,3,HL,HS,0.0
cube320_t0022,80,1,3,HL,HL,898.0
cube320_t0022,96,1,0,B,B,26984.0
cube320_t0022,96,1,0,B,HS,10.0
cube320_t0022,96,1,0,B,HL,6.0
cube320_t0022,96,1,0,HS,B,14.0
cube320_t0022,96,1,0,HS,HS,1982.0
cube320_t0022,96,1,0,HS,HL,2.0
cube320_t0022,96,1,0,HL,B,2.0
cube320_t0022,96,1,0,HL,HS,4.0
cube320_t0022,96,1,0,HL,HL,996.0
cube320_t0022,96,2,0,B,B,26962.0
cube320_t0022,96,2,0,B,HS,22.0
cube320_t0022,96,2,0,B,HL,16.0
cube320_t0022,96,2,0,HS,B,22.0
cube320_t0022,96,2,0,HS,HS,1970.0
cube320_t0022,96,2,0,HS,HL,6.0
cube320_t0022,96,2,0,HL,B,16.0
cube320_t0022,96,2,0,HL,HS,6.0
cube320_t0022,96,2,0,HL,HL,980.0
cube320_t0022,96,4,0,B,B,26936.0
cube320_t0022,96,4,0,B,HS,38.0
cube320_t0022,96,4,0,B,HL,26.0
cube320_t0022,96,4,0,HS,B,42.0
cube320_t0022,96,4,0,HS,HS,1946.0
cube320_t0022,96,4,0,HS,HL,10.0
cube320_t0022,96,4,0,HL,B,22.0
cube320_t0022,96,4,0,HL,HS,18.0
cube320_t0022,96,4,0,HL,HL,962.0
cube320_t0022,96,1,1,B,B,26984.0
cube320_t0022,96,1,1,B,HS,8.0
cube320_t0022,96,1,1,B,HL,8.0
cube320_t0022,96,1,1,HS,B,10.0
cube320_t0022,96,1,1,HS,HS,1968.0
cube320_t0022,96,1,1,HS,HL,2.0
cube320_t0022,96,1,1,HL,B,6.0
cube320_t0022,96,1,1,HL,HS,0.0
cube320_t0022,96,1,1,HL,HL,1014.0
cube320_t0022,96,2,1,B,B,26968.0
cube320_t0022,96,2,1,B,HS,24.0
cube320_t0022,96,2,1,B,HL,8.0
cube320_t0022,96,2,1,HS,B,24.0
cube320_t0022,96,2,1,HS,HS,1952.0
cube320_t0022,96,2,1,HS,HL,4.0
cube320_t0022,96,2,1,HL,B,8.0
cube320_t0022,96,2,1,HL,HS,2.0
cube320_t0022,96,2,1,HL,HL,1010.0
cube320_t0022,96,1,2,B,B,26990.0
cube320_t0022,96,1,2,B,HS,8.0
cube320_t0022,96,1,2,B,HL,2.0
cube320_t0022,96,1,2,HS,B,6.0
cube320_t0022,96,1,2,HS,HS,2004.0
cube320_t0022,96,1,2,HS,HL,4.0
cube320_t0022,96,1,2,HL,B,4.0
cube320_t0022,96,1,2,HL,HS,2.0
cube320_t0022,96,1,2,HL,HL,980.0
cube320_t0022,96,2,2,B,B,26972.0
cube320_t0022,96,2,2,B,HS,16.0
cube320_t0022,96,2,2,B,HL,12.0
cube320_t0022,96,2,2,HS,B,20.0
cube320_t0022,96,2,2,HS,HS,1990.0
cube320_t0022,96,2,2,HS,HL,4.0
cube320_t0022,96,2,2,HL,B,8.0
cube320_t0022,96,2,2,HL,HS,6.0
cube320_t0022,96,2,2,HL,HL,972.0
cube320_t0022,96,1,3,B,B,26980.0
cube320_t0022,96,1,3,B,HS,12.0
cube320_t0022,96,1,3,B,HL,8.0
cube320_t0022,96,1,3,HS,B,12.0
cube320_t0022,96,1,3,HS,HS,1922.0
cube320_t0022,96,1,3,HS,HL,4.0
cube320_t0022,96,1,3,HL,B,8.0
cube320_t0022,96,1,3,HL,HS,2.0
cube320_t0022,96,1,3,HL,HL,1052.0
cube320_t0022,128,1,0,B,B,26988.0
cube320_t0022,128,1,0,B,HS,6.0
cube320_t0022,128,1,0,B,HL,6.0
cube320_t0022,128,1,0,HS,B,4.0
cube320_t0022,128,1,0,HS,HS,1796.0
cube320_t0022,128,1,0,HS,HL,10.0
cube320_t0022,128,1,0,HL,B,8.0
cube320_t0022,128,1,0,HL,HS,4.0
cube320_t0022,128,1,0,HL,HL,1178.0
cube320_t0022,128,2,0,B,B,26970.0
cube320_t0022,128,2,0,B,HS,12.0
cube320_t0022,128,2,0,B,HL,18.0
cube320_t0022,128,2,0,HS,B,14.0
cube320_t0022,128,2,0,HS,HS,1782.0
cube320_t0022,128,2,0,HS,HL,14.0
cube320_t0022,128,2,0,HL,B,16.0
cube320_t0022,128,2,0,HL,HS,6.0
cube320_t0022,128,2,0,HL,HL,1168.0
cube320_t0022,128,4,0,B,B,26930.0
cube320_t0022,128,4,0,B,HS,36.0
cube320_t0022,128,4,0,B,HL,34.0
cube320_t0022,128,4,0,HS,B,36.0
cube320_t0022,128,4,0,HS,HS,1756.0
cube320_t0022,128,4,0,HS,HL,18.0
cube320_t0022,128,4,0,HL,B,34.0
cube320_t0022,128,4,0,HL,HS,22.0
cube320_t0022,128,4,0,HL,HL,1134.0
cube320_t0022,128,1,1,B,B,26984.0
cube320_t0022,128,1,1,B,HS,16.0
cube320_t0022,128,1,1,B,HL,0.0
cube320_t0022,128,1,1,HS,B,12.0
cube320_t0022,128,1,1,HS,HS,1874.0
cube320_t0022,128,1,1,HS,HL,6.0
cube320_t0022,128,1,1,HL,B,4.0
cube320_t0022,128,1,1,HL,HS,6.0
cube320_t0022,128,1,1,HL,HL,1098.0
cube320_t0022,128,2,1,B,B,26962.0
cube320_t0022,128,2,1,B,HS,22.0
cube320_t0022,128,2,1,B,HL,16.0
cube320_t0022,128,2,1,HS,B,22.0
cube320_t0022,128,2,1,HS,HS,1860.0
cube320_t0022,128,2,1,HS,HL,10.0
cube320_t0022,128,2,1,HL,B,16.0
cube320_t0022,128,2,1,HL,HS,10.0
cube320_t0022,128,2,1,HL,HL,1082.0
cube320_t0022,128,1,2,B,B,26978.0
cube320_t0022,128,1,2,B,HS,14.0
cube320_t0022,128,1,2,B,HL,8.0
cube320_t0022,128,1,2,HS,B,10.0
cube320_t0022,128,1,2,HS,HS,1814.0
cube320_t0022,128,1,2,HS,HL,4.0
cube320_t0022,128,1,2,HL,B,12.0
cube320_t0022,128,1,2,HL,HS,4.0
cube320_t0022,128,1,2,HL,HL,1156.0
cube320_t0022,128,2,2,B,B,26956.0
cube320_t0022,128,2,2,B,HS,28.0
cube320_t0022,128,2,2,B,HL,16.0
cube320_t0022,128,2,2,HS,B,14.0
cube320_t0022,128,2,2,HS,HS,1804.0
cube320_t0022,128,2,2,HS,HL,10.0
cube320_t0022,128,2,2,HL,B,30.0
cube320_t0022,128,2,2,HL,HS,6.0
cube320_t0022,128,2,2,HL,HL,1136.0
cube320_t0022,128,1,3,B,B,26978.0
cube320_t0022,128,1,3,B,HS,14.0
cube320_t0022,128,1,3,B,HL,8.0
cube320_t0022,128,1,3,HS,B,10.0
cube320_t0022,128,1,3,HS,HS,1848.0
cube320_t0022,128,1,3,HS,HL,2.0
cube320_t0022,128,1,3,HL,B,12.0
cube320_t0022,128,1,3,HL,HS,6.0
cube320_t0022,128,1,3,HL,HL,1122.0
cube320_t0022,160,1,0,B,B,26974.0
cube320_t0022,160,1,0,B,HS,18.0
cube320_t0022,160,1,0,B,HL,8.0
cube320_t0022,160,1,0,HS,B,18.0
cube320_t0022,160,1,0,HS,HS,1882.0
cube320_t0022,160,1,0,HS,HL,0.0
cube320_t0022,160,1,0,HL,B,8.0
cube320_t0022,160,1,0,HL,HS,6.0
cube320_t0022,160,1,0,HL,HL,1086.0
cube320_t0022,160,2,0,B,B,26942.0
cube320_t0022,160,2,0,B,HS,38.0
cube320_t0022,160,2,0,B,HL,20.0
cube320_t0022,160,2,0,HS,B,42.0
cube320_t0022,160,2,0,HS,HS,1854.0
cube320_t0022,160,2,0,HS,HL,4.0
cube320_t0022,160,2,0,HL,B,16.0
cube320_t0022,160,2,0,HL,HS,8.0
cube320_t0022,160,2,0,HL,HL,1076.0
cube320_t0022,160,4,0,B,B,26900.0
cube320_t0022,160,4,0,B,HS,58.0
cube320_t0022,160,4,0,B,HL,42.0
cube320_t0022,160,4,0,HS,B,72.0
cube320_t0022,160,4,0,HS,HS,1812.0
cube320_t0022,160,4,0,HS,HL,16.0
cube320_t0022,160,4,0,HL,B,28.0
cube320_t0022,160,4,0,HL,HS,10.0
cube320_t0022,160,4,0,HL,HL,1062.0
cube320_t0022,160,1,1,B,B,26968.0
cube320_t0022,160,1,1,B,HS,18.0
cube320_t0022,160,1,1,B,HL,14.0
cube320_t0022,160,1,1,HS,B,16.0
cube320_t0022,160,1,1,HS,HS,1828.0
cube320_t0022,160,1,1,HS,HL,4.0
cube320_t0022,160,1,1,HL,B,16.0
cube320_t0022,160,1,1,HL,HS,6.0
cube320_t0022,160,1,1,HL,HL,1130.0
cube320_t0022,160,2,1,B,B,26950.0
cube320_t0022,160,2,1,B,HS,32.0
cube320_t0022,160,2,1,B,HL,18.0
cube320_t0022,160,2,1,HS,B,28.0
cube320_t0022,160,2,1,HS,HS,1812.0
cube320_t0022,160,2,1,HS,HL,8.0
cube320_t0022,160,2,1,HL,B,22.0
cube320_t0022,160,2,1,HL,HS,12.0
cube320_t0022,160,2,1,HL,HL,1118.0
cube320_t0022,160,1,2,B,B,26964.0
cube320_t0022,160,1,2,B,HS,18.0
cube320_t0022,160,1,2,B,HL,18.0
cube320_t0022,160,1,2,HS,B,14.0
cube320_t0022,160,1,2,HS,HS,1828.0
cube320_t0022,160,1,2,HS,HL,12.0
cube320_t0022,160,1,2,HL,B,22.0
cube320_t0022,160,1,2,HL,HS,0.0
cube320_t0022,160,1,2,HL,HL,1124.0
cube320_t0022,160,2,2,B,B,26940.0
cube320_t0022,160,2,2,B,HS,30.0
cube320_t0022,160,2,2,B,HL,30.0
cube320_t0022,160,2,2,HS,B,34.0
cube320_t0022,160,2,2,HS,HS,1808.0
cube320_t0022,160,2,2,HS,HL,12.0
cube320_t0022,160,2,2,HL,B,26.0
cube320_t0022,160,2,2,HL,HS,8.0
cube320_t0022,160,2,2,HL,HL,1112.0
cube320_t0022,160,1,3,B,B,26984.0
cube320_t0022,160,1,3,B,HS,8.0
cube320_t0022,160,1,3,B,HL,8.0
cube320_t0022,160,1,3,HS,B,8.0
cube320_t0022,160,1,3,HS,HS,1814.0
cube320_t0022,160,1,3,HS,HL,0.0
cube320_t0022,160,1,3,HL,B,8.0
cube320_t0022,160,1,3,HL,HS,6.0
cube320_t0022,160,1,3,HL,HL,1164.0
cube320_t0022,192,1,0,B,B,26964.0
cube320_t0022,192,1,0,B,HS,18.0
cube320_t0022,192,1,0,B,HL,18.0
cube320_t0022,192,1,0,HS,B,26.0
cube320_t0022,192,1,0,HS,HS,1754.0
cube320_t0022,192,1,0,HS,HL,4.0
cube320_t0022,192,1,0,HL,B,10.0
cube320_t0022,192,1,0,HL,HS,4.0
cube320_t0022,192,1,0,HL,HL,1202.0
cube320_t0022,192,2,0,B,B,26932.0
cube320_t0022,192,2,0,B,HS,28.0
cube320_t0022,192,2,0,B,HL,40.0
cube320_t0022,192,2,0,HS,B,42.0
cube320_t0022,192,2,0,HS,HS,1730.0
cube320_t0022,192,2,0,HS,HL,12.0
cube320_t0022,192,2,0,HL,B,26.0
cube320_t0022,192,2,0,HL,HS,10.0
cube320_t0022,192,2,0,HL,HL,1180.0
cube320_t0022,192,4,0,B,B,26886.0
cube320_t0022,192,4,0,B,HS,54.0
cube320_t0022,192,4,0,B,HL,60.0
cube320_t0022,192,4,0,HS,B,74.0
cube320_t0022,192,4,0,HS,HS,1680.0
cube320_t0022,192,4,0,HS,HL,30.0
cube320_t0022,192,4,0,HL,B,40.0
cube320_t0022,192,4,0,HL,HS,28.0
cube320_t0022,192,4,0,HL,HL,1148.0
cube320_t0022,192,1,1,B,B,26972.0
cube320_t0022,192,1,1,B,HS,16.0
cube320_t0022,192,1,1,B,HL,12.0
cube320_t0022,192,1,1,HS,B,16.0
cube320_t0022,192,1,1,HS,HS,1752.0
cube320_t0022,192,1,1,HS,HL,4.0
cube320_t0022,192,1,1,HL,B,12.0
cube320_t0022,192,1,1,HL,HS,2.0
cube320_t0022,192,1,1,HL,HL,1214.0
cube320_t0022,192,2,1,B,B,26944.0
cube320_t0022,192,2,1,B,HS,36.0
cube320_t0022,192,2,1,B,HL,20.0
cube320_t0022,192,2,1,HS,B,26.0
cube320_t0022,192,2,1,HS,HS,1738.0
cube320_t0022,192,2,1,HS,HL,8.0
cube320_t0022,192,2,1,HL,B,30.0
cube320_t0022,192,2,1,HL,HS,4.0
cube320_t0022,192,2,1,HL,HL,1194.0
cube320_t0022,192,1,2,B,B,26976.0
cube320_t0022,192,1,2,B,HS,12.0
cube320_t0022,192,1,2,B,HL,12.0
cube320_t0022,192,1,2,HS,B,14.0
cube320_t0022,192,1,2,HS,HS,1774.0
cube320_t0022,192,1,2,HS,HL,4.0
cube320_t0022,192,1,2,HL,B,10.0
cube320_t0022,192,1,2,HL,HS,2.0
cube320_t0022,192,1,2,HL,HL,1196.0
cube320_t0022,192,2,2,B,B,26950.0
cube320_t0022,192,2,2,B,HS,28.0
cube320_t0022,192,2,2,B,HL,22.0
cube320_t0022,192,2,2,HS,B,20.0
cube320_t0022,192,2,2,HS,HS,1758.0
cube320_t0022,192,2,2,HS,HL,14.0
cube320_t0022,192,2,2,HL,B,30.0
cube320_t0022,192,2,2,HL,HS,8.0
cube320_t0022,192,2,2,HL,HL,1170.0
cube320_t0022,192,1,3,B,B,26974.0
cube320_t0022,192,1,3,B,HS,12.0
cube320_t0022,192,1,3,B,HL,14.0
cube320_t0022,192,1,3,HS,B,14.0
cube320_t0022,192,1,3,HS,HS,1808.0
cube320_t0022,192,1,3,HS,HL,4.0
cube320_t0022,192,1,3,HL,B,12.0
cube320_t0022,192,1,3,HL,HS,2.0
cube320_t0022,192,1,3,HL,HL,1160.0
cube320_t0037,32,1,0,B,B,26980.0
cube320_t0037,32,1,0,B,HS,16.0
cube320_t0037,32,1,0,B,HL,4.0
cube320_t0037,32,1,0,HS,B,14.0
cube320_t0037,32,1,0,HS,HS,2320.0
cube320_t0037,32,1,0,HS,HL,4.0
cube320_t0037,32,1,0,HL,B,6.0
cube320_t0037,32,1,0,HL,HS,2.0
cube320_t0037,32,1,0,HL,HL,654.0
cube320_t0037,32,2,0,B,B,26958.0
cube320_t0037,32,2,0,B,HS,32.0
cube320_t0037,32,2,0,B,HL,10.0
cube320_t0037,32,2,0,HS,B,30.0
cube320_t0037,32,2,0,HS,HS,2300.0
cube320_t0037,32,2,0,HS,HL,8.0
