label,time_label,t,x0,x1,y0,y1,z0,z1,velocity,magnetic,has_velocity,has_magnetic,complete
cube320_t0049,t2,51,1,320,1,320,1,320,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0051_x1-320_y1-320_z1-320.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0051_x1-320_y1-320_z1-320.npy,False,False,False
cube320_t0049,t3,52,1,320,1,320,1,320,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0052_x1-320_y1-320_z1-320.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0052_x1-320_y1-320_z1-320.npy,False,False,False
cube320_t0049,t4,53,1,320,1,320,1,320,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0053_x1-320_y1-320_z1-320.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0053_x1-320_y1-320_z1-320.npy,False,False,False
cube320_t0053,t1,54,641,960,641,960,641,960,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0054_x641-960_y641-960_z641-960.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0054_x641-960_y641-960_z641-960.npy,False,False,False
cube320_t0053,t2,55,641,960,641,960,641,960,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0055_x641-960_y641-960_z641-960.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0055_x641-960_y641-960_z641-960.npy,False,False,False
cube320_t0053,t3,56,641,960,641,960,641,960,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0056_x641-960_y641-960_z641-960.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0056_x641-960_y641-960_z641-960.npy,False,False,False
cube320_t0053,t4,57,641,960,641,960,641,960,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0057_x641-960_y641-960_z641-960.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0057_x641-960_y641-960_z641-960.npy,False,False,False
cube320_t0118,t1,119,1,320,321,640,641,960,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0119_x1-320_y321-640_z641-960.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0119_x1-320_y321-640_z641-960.npy,False,False,False
cube320_t0118,t2,120,1,320,321,640,641,960,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0120_x1-320_y321-640_z641-960.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0120_x1-320_y321-640_z641-960.npy,False,False,False
cube320_t0118,t3,121,1,320,321,640,641,960,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0121_x1-320_y321-640_z641-960.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0121_x1-320_y321-640_z641-960.npy,False,False,False
cube320_t0118,t4,122,1,320,321,640,641,960,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0122_x1-320_y321-640_z641-960.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0122_x1-320_y321-640_z641-960.npy,False,False,False
cube320_t0217,t1,218,321,640,1,320,641,960,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0218_x321-640_y1-320_z641-960.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0218_x321-640_y1-320_z641-960.npy,False,False,False
cube320_t0217,t2,219,321,640,1,320,641,960,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0219_x321-640_y1-320_z641-960.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0219_x321-640_y1-320_z641-960.npy,False,False,False
cube320_t0217,t3,220,321,640,1,320,641,960,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0220_x321-640_y1-320_z641-960.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0220_x321-640_y1-320_z641-960.npy,False,False,False
cube320_t0217,t4,221,321,640,1,320,641,960,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0221_x321-640_y1-320_z641-960.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0221_x321-640_y1-320_z641-960.npy,False,False,False
cube320_t0218,t1,219,641,960,641,960,641,960,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0219_x641-960_y641-960_z641-960.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0219_x641-960_y641-960_z641-960.npy,False,False,False
cube320_t0218,t2,220,641,960,641,960,641,960,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0220_x641-960_y641-960_z641-960.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0220_x641-960_y641-960_z641-960.npy,False,False,False
cube320_t0218,t3,221,641,960,641,960,641,960,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0221_x641-960_y641-960_z641-960.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0221_x641-960_y641-960_z641-960.npy,False,False,False
cube320_t0218,t4,222,641,960,641,960,641,960,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0222_x641-960_y641-960_z641-960.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0222_x641-960_y641-960_z641-960.npy,False,False,False
cube320_t0273,t1,274,641,960,321,640,321,640,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0274_x641-960_y321-640_z321-640.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0274_x641-960_y321-640_z321-640.npy,False,False,False
cube320_t0273,t2,275,641,960,321,640,321,640,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0275_x641-960_y321-640_z321-640.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0275_x641-960_y321-640_z321-640.npy,False,False,False
cube320_t0273,t3,276,641,960,321,640,321,640,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0276_x641-960_y321-640_z321-640.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0276_x641-960_y321-640_z321-640.npy,False,False,False
cube320_t0273,t4,277,641,960,321,640,321,640,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0277_x641-960_y321-640_z321-640.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0277_x641-960_y321-640_z321-640.npy,False,False,False
cube320_t0292,t1,293,641,960,321,640,641,960,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0293_x641-960_y321-640_z641-960.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0293_x641-960_y321-640_z641-960.npy,False,False,False
cube320_t0292,t2,294,641,960,321,640,641,960,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0294_x641-960_y321-640_z641-960.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0294_x641-960_y321-640_z641-960.npy,False,False,False
cube320_t0292,t3,295,641,960,321,640,641,960,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0295_x641-960_y321-640_z641-960.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0295_x641-960_y321-640_z641-960.npy,False,False,False
cube320_t0292,t4,296,641,960,321,640,641,960,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0296_x641-960_y321-640_z641-960.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0296_x641-960_y321-640_z641-960.npy,False,False,False
cube320_t0302,t1,303,321,640,321,640,321,640,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0303_x321-640_y321-640_z321-640.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0303_x321-640_y321-640_z321-640.npy,False,False,False
cube320_t0302,t2,304,321,640,321,640,321,640,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0304_x321-640_y321-640_z321-640.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0304_x321-640_y321-640_z321-640.npy,False,False,False
cube320_t0302,t3,305,321,640,321,640,321,640,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0305_x321-640_y321-640_z321-640.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0305_x321-640_y321-640_z321-640.npy,False,False,False
cube320_t0302,t4,306,321,640,321,640,321,640,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0306_x321-640_y321-640_z321-640.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0306_x321-640_y321-640_z321-640.npy,False,False,False
cube320_t0493,t1,494,1,320,641,960,641,960,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0494_x1-320_y641-960_z641-960.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0494_x1-320_y641-960_z641-960.npy,False,False,False
cube320_t0493,t2,495,1,320,641,960,641,960,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0495_x1-320_y641-960_z641-960.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0495_x1-320_y641-960_z641-960.npy,False,False,False
cube320_t0493,t3,496,1,320,641,960,641,960,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0496_x1-320_y641-960_z641-960.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0496_x1-320_y641-960_z641-960.npy,False,False,False
cube320_t0493,t4,497,1,320,641,960,641,960,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0497_x1-320_y641-960_z641-960.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0497_x1-320_y641-960_z641-960.npy,False,False,False
cube320_t0539,t1,540,1,320,641,960,1,320,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0540_x1-320_y641-960_z1-320.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0540_x1-320_y641-960_z1-320.npy,False,False,False
cube320_t0539,t2,541,1,320,641,960,1,320,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0541_x1-320_y641-960_z1-320.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0541_x1-320_y641-960_z1-320.npy,False,False,False
cube320_t0539,t3,542,1,320,641,960,1,320,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0542_x1-320_y641-960_z1-320.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0542_x1-320_y641-960_z1-320.npy,False,False,False
cube320_t0539,t4,543,1,320,641,960,1,320,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0543_x1-320_y641-960_z1-320.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0543_x1-320_y641-960_z1-320.npy,False,False,False
cube320_t0553,t1,554,321,640,641,960,321,640,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0554_x321-640_y641-960_z321-640.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0554_x321-640_y641-960_z321-640.npy,False,False,False
cube320_t0553,t2,555,321,640,641,960,321,640,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0555_x321-640_y641-960_z321-640.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0555_x321-640_y641-960_z321-640.npy,False,False,False
cube320_t0553,t3,556,321,640,641,960,321,640,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0556_x321-640_y641-960_z321-640.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0556_x321-640_y641-960_z321-640.npy,False,False,False
cube320_t0553,t4,557,321,640,641,960,321,640,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0557_x321-640_y641-960_z321-640.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0557_x321-640_y641-960_z321-640.npy,False,False,False
cube320_t0699,t1,700,1,320,321,640,1,320,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0700_x1-320_y321-640_z1-320.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0700_x1-320_y321-640_z1-320.npy,False,False,False
cube320_t0699,t2,701,1,320,321,640,1,320,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0701_x1-320_y321-640_z1-320.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0701_x1-320_y321-640_z1-320.npy,False,False,False
cube320_t0699,t3,702,1,320,321,640,1,320,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0702_x1-320_y321-640_z1-320.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0702_x1-320_y321-640_z1-320.npy,False,False,False
cube320_t0699,t4,703,1,320,321,640,1,320,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0703_x1-320_y321-640_z1-320.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0703_x1-320_y321-640_z1-320.npy,False,False,False
cube320_t0778,t1,779,321,640,321,640,1,320,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0779_x321-640_y321-640_z1-320.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0779_x321-640_y321-640_z1-320.npy,False,False,False
