label,r,lag,alpha,S2_direct,S2_sd,sum_sd_weights,sqrt_direct,sqrt_sd
ENSEMBLE,32,1,+,0.3056461653619387,0.3044115890958141,0.9989007399134365,0.5528527519710278,0.5517350714752635
ENSEMBLE,48,1,+,0.38329395682809847,0.38249753154468297,0.9993854747489426,0.6191073871535523,0.6184638482115854
ENSEMBLE,64,1,+,0.44818670926235343,0.4477404526769765,0.999694356930853,0.6694674818558056,0.6691341066460269
ENSEMBLE,80,1,+,0.49659646106329447,0.49757471422755145,1.0006520440946276,0.7046960061354786,0.705389760506595
ENSEMBLE,96,1,+,0.5404243615716677,0.5388675463058561,0.9990275848321126,0.7351356076069692,0.7340759812893051
ENSEMBLE,128,1,+,0.6017993845275992,0.6021065515288582,1.000194794575238,0.7757572974375421,0.7759552509834946
ENSEMBLE,160,1,+,0.6416482687929548,0.6408588406104407,0.9994710864050771,0.8010295055695232,0.8005365954223709
ENSEMBLE,192,1,+,0.6812535899169306,0.6799527134220309,0.999158418072676,0.8253808756670648,0.8245924529257049
ENSEMBLE,32,1,+-,0.2441730812169106,0.2430736217135683,0.9989007399134365,0.49413872669212094,0.49302497067954715
ENSEMBLE,48,1,+-,0.30651917494611647,0.3058173810946805,0.9993854747489426,0.5536417388041805,0.5530075777913721
ENSEMBLE,64,1,+-,0.3557692364320401,0.35538122154404567,0.999694356930853,0.5964639439497078,0.5961385925638816
ENSEMBLE,80,1,+-,0.3953473348806402,0.39620646994698244,1.0006520440946276,0.6287665185747728,0.6294493386659346
ENSEMBLE,96,1,+-,0.42922083345057643,0.4278499195196545,0.9990275848321126,0.6551494741282912,0.6541023769408383
ENSEMBLE,128,1,+-,0.4791515622085296,0.4794288802053672,1.000194794575238,0.6922077449787236,0.6924080301421751
ENSEMBLE,160,1,+-,0.5100347596709257,0.5092600440379798,0.9994710864050771,0.7141671790770882,0.7136245820023157
ENSEMBLE,192,1,+-,0.5271311045236248,0.525837940569091,0.999158418072676,0.7260379497819827,0.7251468406944148
ENSEMBLE,32,1,-,0.30770840898125473,0.306471632608132,0.9989007399134365,0.554714709541089,0.5535988011259887
ENSEMBLE,48,1,-,0.3851497131039729,0.3843697666936272,0.9993854747489426,0.6206043128306256,0.6199756178218844
