label,r,lag,state,count,A_p,A_m,A_pm
ENSEMBLE,32,1,B,2160000.0,0.23712465250610637,0.23490024449631572,0.18036220184664423
ENSEMBLE,32,1,HL,63504.0,0.8227702195793664,0.8825768903561686,0.7283483069957762
ENSEMBLE,32,1,HS,176496.0,0.9581653263036846,0.991911944734109,0.850897516342433
ENSEMBLE,48,1,B,2160000.0,0.30780144522084424,0.30452326216377196,0.23539026573323224
ENSEMBLE,48,1,HL,67818.0,0.9485900580950389,1.0332870117504882,0.8511080594132292
ENSEMBLE,48,1,HS,172182.0,1.1076819536915783,1.1413132999552387,0.9843224002137938
ENSEMBLE,64,1,B,2160000.0,0.3672821245250898,0.35990738456960575,0.27934760095940425
ENSEMBLE,64,1,HL,70704.0,1.0539887854108134,1.1335665498001064,0.9461430225076491
ENSEMBLE,64,1,HS,169296.0,1.2274211450463575,1.245597322944044,1.0842503845406999
ENSEMBLE,80,1,B,2160000.0,0.41197562275728933,0.4086661283216394,0.31447414159393045
ENSEMBLE,80,1,HL,72370.0,1.1391909939788798,1.2251167814307908,1.0276605483689978
ENSEMBLE,80,1,HS,167630.0,1.3095562200197468,1.341276175655157,1.164455431516927
ENSEMBLE,96,1,B,2160000.0,0.45393317203086586,0.4494590472491987,0.3451952602257154
ENSEMBLE,96,1,HL,72476.0,1.1981147422937803,1.3050270190946316,1.0894462238034477
ENSEMBLE,96,1,HS,167524.0,1.3710766942220118,1.4110291997256614,1.2269855881990608
ENSEMBLE,128,1,B,2160000.0,0.516326766134982,0.5174008430125234,0.3931560749111203
ENSEMBLE,128,1,HL,73140.0,1.274865804557623,1.422013223958868,1.1734163882031001
ENSEMBLE,128,1,HS,166860.0,1.4132148092372792,1.5107410524844602,1.2880435865952082
ENSEMBLE,160,1,B,2160000.0,0.5562201355530272,0.5614320664636447,0.4236356971423621
ENSEMBLE,160,1,HL,76470.0,1.3822194632549478,1.4333329607972864,1.2265764007958966
ENSEMBLE,160,1,HS,163530.0,1.4237267165256962,1.5456495971583082,1.3161745246368095
ENSEMBLE,192,1,B,2160000.0,0.5914151063517035,0.5690246839698896,0.43883648707630357
ENSEMBLE,192,1,HL,72834.0,1.4709348719293283,1.4160312345200232,1.2493574399031022
ENSEMBLE,192,1,HS,167166.0,1.498019427508306,1.5650478812531319,1.3533382326189605
ENSEMBLE,32,2,B,1620000.0,0.23728599552096846,0.23479426173828974,0.18031789022535497
ENSEMBLE,32,2,HL,47508.0,0.8199126230638962,0.8841914576894183,0.7267351523860097
ENSEMBLE,32,2,HS,132492.0,0.9578771916474843,0.9900628836542548,0.8496254967044118
ENSEMBLE,48,2,B,1620000.0,0.30755017963203524,0.30450772399332066,0.2352508611394397
ENSEMBLE,48,2,HL,50874.0,0.9459256126867647,1.0312862311242605,0.8486682476931893
ENSEMBLE,48,2,HS,129126.0,1.1042522232181138,1.1426075901711559,0.9831439774964241
ENSEMBLE,64,2,B,1620000.0,0.36731688022959447,0.3600898419672067,0.27933005010072803
ENSEMBLE,64,2,HL,52934.0,1.0525328314570899,1.1363754529739691,0.9464209771377968
ENSEMBLE,64,2,HS,127066.0,1.2276001155234204,1.247381984091675,1.0854959721438446
ENSEMBLE,80,2,B,1620000.0,0.41220789069729624,0.40857329987017516,0.3144867658979301
ENSEMBLE,80,2,HL,54270.0,1.13673903052473,1.2289719811491318,1.0274136575910782
ENSEMBLE,80,2,HS,125730.0,1.3102823516065865,1.342497313087302,1.1642086502203866
ENSEMBLE,96,2,B,1620000.0,0.4536946683121956,0.449487180818609,0.3451074200886482
ENSEMBLE,96,2,HL,54150.0,1.197809623621103,1.3032363677546805,1.0887871649884089
ENSEMBLE,96,2,HS,125850.0,1.37325453663322,1.4128740500381158,1.2288428577368018
ENSEMBLE,128,2,B,1620000.0,0.5163157477970852,0.5171979699314221,0.39309736607223394
ENSEMBLE,128,2,HL,54828.0,1.2765506689905715,1.4161344612872526,1.1717799644295306
ENSEMBLE,128,2,HS,125172.0,1.4136824944648028,1.5076163911110394,1.2868434067586665
ENSEMBLE,160,2,B,1620000.0,0.5571973473675564,0.5608926282688532,0.42367543918120915
ENSEMBLE,160,2,HL,57380.0,1.3829745542641871,1.4284371184430789,1.2250916445984052
ENSEMBLE,160,2,HS,122620.0,1.4203460050743166,1.5481366051323857,1.3156859032410029
ENSEMBLE,192,2,B,1620000.0,0.5909094479800605,0.5695061789682894,0.43879845422271885
ENSEMBLE,192,2,HL,54496.0,1.475860677325189,1.412073241171925,1.2505735272617764
ENSEMBLE,192,2,HS,125504.0,1.5006437573881168,1.564569702385528,1.354531826361477
ENSEMBLE,32,4,B,540000.0,0.23805620730280055,0.23548054910629979,0.18072551220550578
ENSEMBLE,32,4,HL,15964.0,0.8310254053958858,0.885575315544827,0.7287057591723856
ENSEMBLE,32,4,HS,44036.0,0.9601604845257384,0.9908489265872472,0.850303161316964
ENSEMBLE,48,4,B,540000.0,0.3075902218394288,0.3036488038748753,0.23496342275850474
ENSEMBLE,48,4,HL,16994.0,0.934760648037825,1.0346459590418025,0.844832892035175
ENSEMBLE,48,4,HS,43006.0,1.1012589554426193,1.1415433050573125,0.9835154286433848
ENSEMBLE,64,4,B,540000.0,0.36765707164717176,0.3599905402119067,0.2796359936514118
ENSEMBLE,64,4,HL,17782.0,1.0568086304394602,1.1326900676062674,0.9478521060363055
ENSEMBLE,64,4,HS,42218.0,1.2200227826989574,1.2477115642996777,1.0841516404156561
ENSEMBLE,80,4,B,540000.0,0.41307516381064247,0.4092247674452955,0.31501963089451995
ENSEMBLE,80,4,HL,18316.0,1.142988376934626,1.2255653271077858,1.0295682288534584
ENSEMBLE,80,4,HS,41684.0,1.315824165913432,1.3460679122021653,1.1681145492161593
ENSEMBLE,96,4,B,540000.0,0.4519267495374206,0.4500549453901805,0.3446914752612329
ENSEMBLE,96,4,HL,17890.0,1.1902827340947935,1.309195044796175,1.0868093984774818
ENSEMBLE,96,4,HS,42110.0,1.3726010370026076,1.4133947935801683,1.228369476633136
ENSEMBLE,128,4,B,540000.0,0.5158646574705364,0.5170854538078227,0.3925774437804469
ENSEMBLE,128,4,HL,18392.0,1.2765706173129583,1.4112241927318936,1.1690789439840539
